web-scraper-order,web-scraper-start-url,game,game-href,followers,twitch-viewers-24-hours,twitch-viewers-all-time,owner-estimations-vg,owner-estimations-SteamSpy,owner-estimations-PlayTracker,Month,Peak,Gain,Gain-pct,Average,Avg-Gain-pct,user-reviews
1751940102-16,https://steamdb.info/charts/?sort=peak,Supermarket Together,https://steamdb.info/app/2709570/charts/,"47,769",194,"62,543",~3.45 M,~3.84 M,~6.67 M,June 2025,"10,884",-668,-5.80%,"5,883",+1.2%,😍 93.31%
1751940108-17,https://steamdb.info/charts/?sort=peak,Watch_Dogs,https://steamdb.info/app/243470/charts/,"101,531",45,"14,649",~1.78 M,~2.02 M,~2.36 M,June 2025,"1,150",+579,+101.4%,564,+88.6%,😏 77.24%
1751940114-18,https://steamdb.info/charts/?sort=peak,SUPERVIVE,https://steamdb.info/app/1283700/charts/,"35,954",162,"122,482",~760.8 k,~1.93 M,~2.25 M,June 2025,"1,419",-254,-15.20%,679,-27.20%,😎 87.56%
1751940119-19,https://steamdb.info/charts/?sort=peak,Europa Universalis IV,https://steamdb.info/app/236850/charts/,"216,208","1,586","35,729",~3.37 M,~5.34 M,~6.77 M,June 2025,"23,449","-1,678",-6.70%,"13,987",-6.00%,😎 85.60%
1751940125-20,https://steamdb.info/charts/?sort=peak,Remnant: From the Ashes,https://steamdb.info/app/617290/charts/,"184,413",44,"96,174",~1.01 M,~2.68 M,~3.21 M,June 2025,"1,227",-498,-28.90%,398,-1.50%,😎 83.40%
1751940131-21,https://steamdb.info/charts/?sort=peak,NBA 2K20,https://steamdb.info/app/1089350/charts/,"51,492",4,"92,595","51,492",152,388,June 2025,480,+7,+1.5%,221,-3.90%,😕 49.86%
1751940138-22,https://steamdb.info/charts/?sort=peak,Middle-earth™: Shadow of Mordor™,https://steamdb.info/app/241930/charts/,"220,152",68,"16,743",~5.48 M,~5.62 M,~6.27 M,June 2025,"1,077","-1,139",-51.40%,500,-34.60%,😍 91.07%
1751940144-23,https://steamdb.info/charts/?sort=peak,Monster Hunter Wilds Benchmark,https://steamdb.info/app/3424520/charts/,,,,,,,June 2025,277,-122,-30.60%,134,-26.40%,
1751940150-24,https://steamdb.info/charts/?sort=peak,The Elder Scrolls Online,https://steamdb.info/app/306130/charts/,"478,241","6,942","161,025",~4.64 M,~7.13 M,~8.93 M,June 2025,"26,467","+3,658",+16.0%,"13,175",-0.40%,😎 80.53%
1751940156-25,https://steamdb.info/charts/?sort=peak,TEKKEN 8,https://steamdb.info/app/1778820/charts/,"97,592","5,352","181,512",~1.07 M,~1.53 M,~1.68 M,June 2025,"7,157",-204,-2.80%,"4,634",0.00%,😐 53.98%
1751940161-26,https://steamdb.info/charts/?sort=peak,PAYDAY: The Heist,https://steamdb.info/app/24240/charts/,"144,232",4,"2,863",~4.21 M,~4.62 M,~5.37 M,June 2025,158,+87,+122.5%,59,+103.4%,😍 91.61%
1751940167-27,https://steamdb.info/charts/?sort=peak,Metro 2033 Redux,https://steamdb.info/app/286690/charts/,"105,468",36,"11,223",~5.13 M,~6.07 M,~6.34 M,June 2025,"2,536","-4,267",-62.70%,"1,324",-37.70%,😍 90.34%
1751940173-28,https://steamdb.info/charts/?sort=peak,Fallout: New Vegas,https://steamdb.info/app/22380/charts/,"173,044",369,"182,517",~7.79 M,~8.62 M,~11.92 M,June 2025,"5,459",-621,-10.20%,"3,228",-8.60%,🤩 94.95%
1751940178-29,https://steamdb.info/charts/?sort=peak,Evolve Stage 2,https://steamdb.info/app/273350/charts/,"260,882",0,"29,990",~5.54 M,~6.66 M,~8.12 M,June 2025,34,+3,+9.7%,12,+9.1%,😌 69.22%
1751940184-30,https://steamdb.info/charts/?sort=peak,Loop Hero,https://steamdb.info/app/1282730/charts/,"60,423",7,"9,300",~1.34 M,~1.63 M,~1.86 M,June 2025,600,+92,+18.1%,285,+33.2%,😍 91.10%
1751940189-31,https://steamdb.info/charts/?sort=peak,Subnautica,https://steamdb.info/app/264710/charts/,"616,632","2,003","112,627",~6.61 M,~8.53 M,~9.02 M,June 2025,"5,955",+581,+10.8%,"3,442",+16.2%,🤩 96.02%
1751940196-32,https://steamdb.info/charts/?sort=peak,Supermarket Simulator,https://steamdb.info/app/2670630/charts/,"111,331",399,"107,824",~2.29 M,~2.50 M,~2.72 M,June 2025,"8,077","+1,172",+17.0%,"3,550",-3.30%,😍 92.18%
1751941982-1,https://steamdb.info/charts/?sort=peak,DISTRAINT: Deluxe Edition,https://steamdb.info/app/395170/charts/,"8,431",2,"12,385",~294.3 k,~406.5 k,~3.69 M,June 2025,19,-4,-17.4%,4,-20.0%,😍 90.63%
1751941988-2,https://steamdb.info/charts/?sort=peak,Total War: WARHAMMER III,https://steamdb.info/app/1142710/charts/,"277,141","2,749","29,830",~3.37 M,~3.46 M,~3.75 M,June 2025,"33,306",-445,-1.3%,"19,985",+4.8%,😏 72.33%
1751941994-3,https://steamdb.info/charts/?sort=peak,Resident Evil 4,https://steamdb.info/app/2050650/charts/,"267,547","1,478","329,528",~4.16 M,~4.72 M,~5.08 M,June 2025,"12,735","+1,679",+15.2%,"6,997",+28.5%,🤩 96.47%
1751942000-4,https://steamdb.info/charts/?sort=peak,Call of Duty®: Modern Warfare® II - Open Beta,https://steamdb.info/app/2075730/charts/,"36,803",~2.12 M,,,,,,,,,,,
1751942007-5,https://steamdb.info/charts/?sort=peak,Deadlock,https://steamdb.info/app/1422450/charts/,"291,711","2,487","118,283","291,711","10,660","13,837",June 2025,"17,843","-4,844",-21.4%,"10,267",-10.3%,
1751942013-6,https://steamdb.info/charts/?sort=peak,Fall Guys,https://steamdb.info/app/1097150/charts/,"698,845","8,639","713,229","698,845",678,900,June 2025,"1,246",+118,+10.5%,713,+3.2%,😎 80.68%
1751942019-7,https://steamdb.info/charts/?sort=peak,Evolvation,https://steamdb.info/app/510840/charts/,"1,793",0,14,~1.61 M,~1.70 M,,June 2025,34,-2,-5.6%,1,-50.0%,😌 65.63%
1751942025-8,https://steamdb.info/charts/?sort=peak,Manor Lords,https://steamdb.info/app/1363080/charts/,"528,694",188,"66,654",~2.85 M,~2.98 M,~3.25 M,June 2025,"4,474","-1,231",-21.6%,"2,176",-21.1%,😎 84.82%
1751942031-9,https://steamdb.info/charts/?sort=peak,Delta Force,https://steamdb.info/app/2507950/charts/,"285,342","5,016","243,017",~9.17 M,~9.89 M,~11.44 M,June 2025,"162,436","+7,135",+4.6%,"79,196",+6.5%,😌 62.28%
1751942037-10,https://steamdb.info/charts/?sort=peak,Hyperdrive Massacre,https://steamdb.info/app/402390/charts/,"1,066",0,24,~516.0 k,~1.77 M,,June 2025,265,+230,+657.1%,5,+400.0%,
1751942042-11,https://steamdb.info/charts/?sort=peak,鬼谷八荒 Tale of Immortal,https://steamdb.info/app/1468810/charts/,"235,275",0,"19,843",~2.89 M,~4.18 M,~5.80 M,June 2025,"7,597",-232,-3.0%,"3,385",-5.8%,😐 53.27%
1751942048-12,https://steamdb.info/charts/?sort=peak,Source SDK Base 2013 Multiplayer,https://steamdb.info/app/243750/charts/,,,,,,,June 2025,"2,916","+1,492",+104.8%,479,+11.1%,
1751942054-13,https://steamdb.info/charts/?sort=peak,Satisfactory,https://steamdb.info/app/526870/charts/,"385,268","3,018","70,863",~6.77 M,~7.63 M,~8.11 M,June 2025,"38,257","+12,803",+50.3%,"19,534",+40.0%,🤩 96.03%
1751942059-14,https://steamdb.info/charts/?sort=peak,NARAKA: BLADEPOINT Demo,https://steamdb.info/app/1487290/charts/,,,,,,,June 2021,"186,589",-,-,-,-,
1751942065-15,https://steamdb.info/charts/?sort=peak,Grand Theft Auto V Enhanced,https://steamdb.info/app/3240220/charts/,"56,058",~5.43 M,~7.23 M,,,,June 2025,"75,858","-11,555",-13.2%,"43,674",-3.6%,😌 68.08%
1751942071-16,https://steamdb.info/charts/?sort=peak,Dune: Awakening,https://steamdb.info/app/1172710/charts/,"247,114","10,335","221,716",~1.26 M,~1.40 M,~1.49 M,June 2025,"189,333",-,-,"96,218",-,😏 77.71%
1751942076-17,https://steamdb.info/charts/?sort=peak,Football Manager 2020,https://steamdb.info/app/1100600/charts/,"56,503",0,"25,275",~795.8 k,~952.3 k,~5.81 M,June 2025,"1,694",+8,+0.5%,"1,068",+1.2%,😎 87.55%
1751942082-18,https://steamdb.info/charts/?sort=peak,Warframe,https://steamdb.info/app/230410/charts/,"877,498","3,902","554,691",~23.86 M,~35.99 M,~45.05 M,June 2025,"99,050","+25,696",+35.0%,"43,543",-0.1%,😎 86.38%
1751942088-19,https://steamdb.info/charts/?sort=peak,A Story About My Uncle,https://steamdb.info/app/278360/charts/,"32,734",0,"100,835",~833.3 k,~1.15 M,~7.22 M,June 2025,49,-13,-21.0%,9,+12.5%,😎 89.68%
1751942093-20,https://steamdb.info/charts/?sort=peak,Stellar Blade™,https://steamdb.info/app/3489700/charts/,"171,097","2,514","97,724",~1.25 M,~1.83 M,~1.90 M,June 2025,"192,078",-,-,"62,777",-,😍 91.90%
1751942099-21,https://steamdb.info/charts/?sort=peak,Total War: THREE KINGDOMS,https://steamdb.info/app/779340/charts/,"499,429",2,"62,477",~2.31 M,~3.09 M,~3.80 M,June 2025,"10,136",+764,+8.2%,"4,922",+8.3%,😏 71.59%
1751942105-22,https://steamdb.info/charts/?sort=peak,Bongo Cat,https://steamdb.info/app/3419430/charts/,"234,702",1,37,~810.2 k,~3.14 M,,June 2025,"192,501","-2,007",-1.0%,"151,410",+7.9%,🤩 95.50%
1751942110-23,https://steamdb.info/charts/?sort=peak,New World Public Test Realm,https://steamdb.info/app/1205550/charts/,"1,037",,,,,,June 2025,5,0,+0.0%,1,+0.0%,
1751942116-24,https://steamdb.info/charts/?sort=peak,Tom Clancy's Rainbow Six® Siege X,https://steamdb.info/app/359550/charts/,"1,273,511","57,376","593,746",~20.97 M,~32.24 M,~35.09 M,June 2025,"142,025","+52,829",+59.2%,"80,574",+57.3%,😎 82.89%
1751942122-25,https://steamdb.info/charts/?sort=peak,Dota Underlords,https://steamdb.info/app/1046930/charts/,"67,897",131,"67,355",~2.47 M,~7.50 M,~8.81 M,June 2025,"1,575",-17,-1.1%,"1,051",+0.0%,😎 81.20%
1751942128-26,https://steamdb.info/charts/?sort=peak,Content Warning,https://steamdb.info/app/2881650/charts/,"97,492",113,"157,776",~5.03 M,~5.04 M,~7.97 M,June 2025,"1,769","-1,041",-37.0%,909,-13.2%,😍 93.42%
1751942134-27,https://steamdb.info/charts/?sort=peak,No Man's Sky,https://steamdb.info/app/275850/charts/,"814,261",458,"218,360",~3.69 M,~9.12 M,~10.05 M,June 2025,"23,640","+10,593",+81.2%,"11,297",+72.7%,😎 82.54%
1751942140-28,https://steamdb.info/charts/?sort=peak,Gene Shift Auto,https://steamdb.info/app/308600/charts/,"8,746",0,"7,610",~2.38 M,~3.95 M,,June 2025,48,+3,+6.7%,11,-15.4%,😏 79.99%
1751942146-29,https://steamdb.info/charts/?sort=peak,The Elder Scrolls IV: Oblivion Remastered,https://steamdb.info/app/2623190/charts/,"145,806","1,279","460,946",~1.68 M,~2.30 M,~2.47 M,June 2025,"30,738","-111,001",-78.3%,"9,617",-77.9%,😏 78.18%
1751942152-30,https://steamdb.info/charts/?sort=peak,Braveland,https://steamdb.info/app/285800/charts/,"4,396",0,491,~1.98 M,~5.13 M,,June 2025,32,-4,-11.1%,2,+0.0%,😏 78.80%
1751942157-31,https://steamdb.info/charts/?sort=peak,"Warhammer 40,000: Space Marine 2",https://steamdb.info/app/2183900/charts/,"307,173","2,939","219,951",~3.64 M,~4.45 M,~4.93 M,June 2025,"24,090","+8,963",+59.3%,"8,222",+7.7%,😎 81.95%
1751942163-32,https://steamdb.info/charts/?sort=peak,For Honor,https://steamdb.info/app/304390/charts/,"282,911",450,"146,765",~3.31 M,~5.35 M,~9.04 M,June 2025,"3,891",-390,-9.1%,"2,287",-8.4%,😌 68.94%
1751942169-33,https://steamdb.info/charts/?sort=peak,Dragon's Dogma 2,https://steamdb.info/app/2054970/charts/,"211,058",95,"187,617",~1.79 M,~2.33 M,~2.53 M,June 2025,"2,936",+510,+21.0%,"1,473",+33.4%,😌 60.54%
1751942175-34,https://steamdb.info/charts/?sort=peak,Path of Exile,https://steamdb.info/app/238960/charts/,"269,766","28,895","445,814",~14.26 M,~15.05 M,~22.55 M,June 2025,"179,556","+168,862","+1,579.0%","50,954",+892.3%,😎 87.83%
1751942181-35,https://steamdb.info/charts/?sort=peak,MONSTER HUNTER RISE,https://steamdb.info/app/1446780/charts/,"211,187",85,"127,318",~4.55 M,~4.70 M,~5.85 M,June 2025,"10,210","-3,140",-23.5%,"4,443",-16.3%,😎 81.32%
1751942562-1,https://steamdb.info/charts/?sort=peak,Hearts of Iron IV,https://steamdb.info/app/394360/charts/,"439,865",497,"25,901",~6.54 M,~9.05 M,~9.58 M,June 2025,"61,748","-5,635",-8.40%,"37,149",+0.8%,😎 88.33%
1751942567-2,https://steamdb.info/charts/?sort=peak,Divinity: Original Sin 2,https://steamdb.info/app/435150/charts/,"492,874",89,"84,952",~5.32 M,~5.82 M,~7.78 M,June 2025,"9,382","+3,105",+49.5%,"4,166",+29.9%,🤩 94.63%
1751942572-3,https://steamdb.info/charts/?sort=peak,Borderlands 3,https://steamdb.info/app/397540/charts/,"214,465",559,"360,940",~3.98 M,~4.68 M,~8.60 M,June 2025,"11,284","+3,641",+47.6%,"6,070",+36.7%,😏 79.96%
1751942577-4,https://steamdb.info/charts/?sort=peak,Football Manager 2021,https://steamdb.info/app/1263850/charts/,"49,717",1,"41,989","49,717",661,"1,352",June 2025,"1,776",-22,-1.20%,"1,134",+0.3%,😍 91.39%
1751942582-5,https://steamdb.info/charts/?sort=peak,Chained Together,https://steamdb.info/app/2567870/charts/,"77,079","3,437","226,204",~3.24 M,~4.82 M,~5.32 M,June 2025,"3,598",-103,-2.80%,"1,486",+9.5%,😎 89.06%
1751942587-6,https://steamdb.info/charts/?sort=peak,FINAL FANTASY XIV Online,https://steamdb.info/app/39210/charts/,"142,533","3,818","221,605",~3.02 M,~4.69 M,~4.70 M,June 2025,"29,758","-1,912",-6.00%,"15,744",-10.70%,😎 86.42%
1751942592-7,https://steamdb.info/charts/?sort=peak,Kingdom Come: Deliverance,https://steamdb.info/app/379430/charts/,"387,578",402,"214,320",~2.89 M,~3.42 M,~6.13 M,June 2025,"6,356","-2,265",-26.30%,"3,091",-27.90%,😎 83.23%
1751942598-8,https://steamdb.info/charts/?sort=peak,The Sims™ 4,https://steamdb.info/app/1222670/charts/,"444,447","9,753","167,525",~5.19 M,~11.72 M,~13.64 M,June 2025,"43,780","-2,102",-4.60%,"28,208",+3.0%,😎 86.32%
1751942606-9,https://steamdb.info/charts/?sort=peak,Terra Nil Demo,https://steamdb.info/app/1642370/charts/,,,,,,,May 2023,1,-790,-99.90%,1,-97.70%,
1751942611-10,https://steamdb.info/charts/?sort=peak,MIR4,https://steamdb.info/app/1623660/charts/,"22,328",410,"29,420",~437.3 k,~1.50 M,~5.61 M,June 2025,"14,496",-921,-6.00%,"13,172",-4.40%,😌 64.41%
1751942616-11,https://steamdb.info/charts/?sort=peak,ARK: Survival Ascended,https://steamdb.info/app/2399830/charts/,"203,611","2,932","236,277",~1.89 M,~2.06 M,~2.42 M,June 2025,"48,116","+23,843",+98.2%,"21,921",+39.2%,😐 58.43%
1751942621-12,https://steamdb.info/charts/?sort=peak,Portal 2,https://steamdb.info/app/620/charts/,"349,992",125,"175,214",~6.10 M,~24.01 M,~30.02 M,June 2025,"4,305",+350,+8.8%,"2,024",+30.4%,🤩 97.71%
1751942625-13,https://steamdb.info/charts/?sort=peak,DAVE THE DIVER,https://steamdb.info/app/1868140/charts/,"210,858",421,"66,669",~4.54 M,~4.65 M,~5.33 M,June 2025,"15,880","+7,670",+93.4%,"5,296",+38.5%,🤩 95.59%
1751942630-14,https://steamdb.info/charts/?sort=peak,Crusader Kings III,https://steamdb.info/app/1158310/charts/,"289,875",684,"64,778",~3.25 M,~3.84 M,~4.39 M,June 2025,"26,365","-4,985",-15.90%,"15,527",-14.50%,😎 88.85%
1751942640-15,https://steamdb.info/charts/?sort=peak,Red Dead Redemption 2,https://steamdb.info/app/1174180/charts/,"881,056","13,029","382,860",~16.06 M,~19.34 M,~19.57 M,June 2025,"67,370","+5,292",+8.5%,"32,506",+0.1%,😍 91.06%
1751942645-16,https://steamdb.info/charts/?sort=peak,Counter-Strike: Source,https://steamdb.info/app/240/charts/,"441,358",60,"72,769",~14.23 M,~15.03 M,~21.03 M,June 2025,"18,204","+4,549",+33.3%,"10,998",+43.4%,🤩 95.06%
1751942649-17,https://steamdb.info/charts/?sort=peak,Raft,https://steamdb.info/app/648800/charts/,"633,780","1,278","209,002",~13.89 M,~14.69 M,~14.97 M,June 2025,"20,660","+7,372",+55.5%,"7,337",+11.2%,😍 92.34%
1751942654-18,https://steamdb.info/charts/?sort=peak,DELTARUNE (Chapter 1 & 2 DEMO),https://steamdb.info/app/1690940/charts/,,,,,,,June 2025,"16,189","+12,424",+330.0%,"2,247",+118.2%,
1751942659-19,https://steamdb.info/charts/?sort=peak,The Witcher 3: Wild Hunt,https://steamdb.info/app/292030/charts/,"974,967","5,867","88,949",~14.14 M,~20.48 M,~27.31 M,June 2025,"35,010","-7,207",-17.10%,"16,701",+14.0%,🤩 95.37%
1751942664-20,https://steamdb.info/charts/?sort=peak,Hades II,https://steamdb.info/app/1145350/charts/,"246,659",660,"99,194",~2.01 M,~2.05 M,~2.49 M,June 2025,"16,883","+13,294",+370.4%,"5,763",+155.9%,😍 93.31%
1751942669-21,https://steamdb.info/charts/?sort=peak,Party Animals,https://steamdb.info/app/1260320/charts/,"634,258","2,302","328,070",~1.95 M,~3.79 M,~4.24 M,June 2025,"11,724","+2,464",+26.6%,"3,328",+34.7%,😏 77.57%
1751942674-22,https://steamdb.info/charts/?sort=peak,Warhammer: Vermintide 2,https://steamdb.info/app/552500/charts/,"241,586",165,"77,418",~3.71 M,~4.32 M,~5.27 M,June 2025,"5,665",-228,-3.90%,"2,185",+3.3%,😎 83.87%
1751942682-23,https://steamdb.info/charts/?sort=peak,Cities: Skylines II,https://steamdb.info/app/949230/charts/,"313,932",642,"93,641",~1.74 M,~1.81 M,~2.25 M,June 2025,"11,523",-269,-2.30%,"6,646",-1.70%,😐 52.36%
1751942689-24,https://steamdb.info/charts/?sort=peak,DOOM Eternal,https://steamdb.info/app/782330/charts/,"255,758",338,"141,795",~5.74 M,~5.97 M,~6.22 M,June 2025,"5,007","-2,614",-34.30%,"1,979",-38.90%,😍 90.15%
1751942694-25,https://steamdb.info/charts/?sort=peak,Realm Royale Reforged,https://steamdb.info/app/813820/charts/,"79,415",0,"197,627","79,415",0,6,June 2025,14,+4,+40.0%,2,+0.0%,😏 75.22%
1751952300-1,https://steamdb.info/charts/?sort=peak,Palworld Dedicated Server,https://steamdb.info/app/2394010/charts/,,,,,,,June 2025,"1,596","+1,004",+169.6%,587,+19.3%,
1751952306-2,https://steamdb.info/charts/?sort=peak,PAYDAY 3 - Beta,https://steamdb.info/app/2478210/charts/,268,,,,,,August 2023,"4,734","+4,692","+11,171.4%","2,090","+34,733.3%",
1751952312-3,https://steamdb.info/charts/?sort=peak,Persona 5 Royal,https://steamdb.info/app/1687950/charts/,"144,292",675,"20,593",~2.07 M,~2.84 M,~3.04 M,June 2025,"10,841","-1,930",-15.10%,"5,451",-13.20%,🤩 95.18%
1751952318-4,https://steamdb.info/charts/?sort=peak,Frostpunk 2,https://steamdb.info/app/1601580/charts/,"175,566",14,"107,832",~738.6 k,~798.6 k,~867.0 k,June 2025,"1,262","-1,612",-56.10%,563,-48.60%,😏 74.80%
1751952324-5,https://steamdb.info/charts/?sort=peak,God of War Ragnarök,https://steamdb.info/app/2322010/charts/,"99,920",890,"489,132",~764.7 k,~948.4 k,~973.7 k,June 2025,"4,304",+515,+13.6%,"1,851",-6.30%,😎 84.98%
1751952334-6,https://steamdb.info/charts/?sort=peak,Cube World,https://steamdb.info/app/1128000/charts/,"76,755",0,"40,613",~525.7 k,~705.8 k,~750.0 k,June 2025,37,-2,-5.10%,15,+0.0%,😢 37.60%
1751952339-7,https://steamdb.info/charts/?sort=peak,BATTLETECH,https://steamdb.info/app/637090/charts/,"120,488",191,"26,895",~822.5 k,~1.18 M,~1.79 M,June 2025,"2,107",-213,-9.20%,"1,305",-8.70%,😎 82.29%
1751952345-8,https://steamdb.info/charts/?sort=peak,Wartales,https://steamdb.info/app/1527950/charts/,"199,932",413,"46,748",~891.8 k,~1.18 M,~1.18 M,June 2025,"3,912",-992,-20.20%,"1,918",-10.20%,😎 87.71%
1751952356-9,https://steamdb.info/charts/?sort=peak,STAR WARS™ Battlefront™ II,https://steamdb.info/app/1237950/charts/,"80,799",800,"121,333",~2.41 M,~2.55 M,~3.44 M,June 2025,"35,892","+17,257",+92.6%,"12,394",+110.5%,😎 86.51%
1751952365-10,https://steamdb.info/charts/?sort=peak,Dead Island,https://steamdb.info/app/91310/charts/,"19,789",~10.25 M,,"19,789",9,43,June 2025,64,-9,-12.30%,27,+0.0%,
1751952371-11,https://steamdb.info/charts/?sort=peak,XCOM: Chimera Squad,https://steamdb.info/app/882100/charts/,"36,650",0,"41,604",~683.6 k,~774.6 k,~1.18 M,June 2025,152,-3,-1.90%,73,-13.10%,😏 70.48%
1751952377-12,https://steamdb.info/charts/?sort=peak,AX:EL,https://steamdb.info/app/319830/charts/,"1,898",0,18,~415.4 k,~1.17 M,~1.93 M,June 2025,67,+18,+36.7%,2,-33.30%,😏 72.49%
1751952383-13,https://steamdb.info/charts/?sort=peak,Schedule I: Free Sample,https://steamdb.info/app/3205720/charts/,"11,883",,,,,,June 2025,"6,329","-12,468",-66.30%,915,-64.60%,😍 93.84%
1751952388-14,https://steamdb.info/charts/?sort=peak,Waifu,https://steamdb.info/app/3188910/charts/,422,,,,,,June 2025,"36,183","+5,028",+16.1%,"30,532",+25.9%,
1751952406-15,https://steamdb.info/charts/?sort=peak,No Rest for the Wicked,https://steamdb.info/app/1371980/charts/,"149,733",536,"175,119",~817.6 k,~1.12 M,~1.55 M,June 2025,"3,286","-12,745",-79.50%,"1,153",-76.70%,😏 77.51%
1751952426-16,https://steamdb.info/charts/?sort=peak,Resident Evil 4 Chainsaw Demo,https://steamdb.info/app/2231770/charts/,312,,,,,,June 2025,110,+38,+52.8%,40,+53.8%,
1751952443-17,https://steamdb.info/charts/?sort=peak,太荒初境,https://steamdb.info/app/1504570/charts/,"27,181",0,519,~195.5 k,~219.8 k,~409.2 k,June 2025,28,-15,-34.90%,9,-30.80%,😢 38.29%
1751952459-18,https://steamdb.info/charts/?sort=peak,STAR WARS™: Squadrons,https://steamdb.info/app/1222730/charts/,"95,884",5,"139,205",~815.7 k,~1.14 M,~1.55 M,June 2025,296,+9,+3.1%,103,-1.00%,😌 64.83%
1751952482-19,https://steamdb.info/charts/?sort=peak,The Last of Us™ Part I,https://steamdb.info/app/1888930/charts/,"220,588",413,"99,112",~1.41 M,~1.67 M,~1.91 M,June 2025,"11,545","+2,137",+22.7%,"3,335",+13.6%,😏 79.48%
1751952508-20,https://steamdb.info/charts/?sort=peak,Backpack Battles,https://steamdb.info/app/2427700/charts/,"51,117","4,827","64,849",~489.9 k,~878.2 k,~921.0 k,June 2025,"15,751","+12,501",+384.6%,"5,375",+198.9%,😎 88.93%
1751952529-21,https://steamdb.info/charts/?sort=peak,Party Animals Playtest,https://steamdb.info/app/1401390/charts/,40,,,40,0,0,August 2023,55,-,-,5,-,
1751952542-22,https://steamdb.info/charts/?sort=peak,Company of Heroes 3,https://steamdb.info/app/1677280/charts/,"142,008",144,"32,055",~782.4 k,~951.7 k,~1.01 M,June 2025,"4,972","-1,007",-16.80%,"2,702",-7.90%,😐 56.45%
